Station;117 Schildhornstraße;124 Mariendorfer Damm;144 Silbersteinstraße;174 Frankfurter Allee;190 Leipziger Straße;221 Karl-Marx-Straße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

17.09.2026 19:00;15;31;36;27;38;36
17.09.2026 20:00;24;36;40;34;43;35
17.09.2026 21:00;26;36;44;34;40;39
17.09.2026 22:00;15;29;43;30;30;28
17.09.2026 23:00;12;23;34;28;24;28
18.09.2026 00:00;13;26;22;24;22;20
18.09.2026 01:00;11;23;20;21;16;17
18.09.2026 02:00;13;19;21;19;15;14
18.09.2026 03:00;11;17;14;18;14;14
18.09.2026 04:00;13;19;16;19;21;13
18.09.2026 05:00;12;14;19;20;15;15
18.09.2026 06:00;11;24;27;23;20;16
18.09.2026 07:00;18;34;40;32;41;23
18.09.2026 08:00;25;37;40;32;47;30
18.09.2026 09:00;30;33;37;35;36;30
18.09.2026 10:00;19;29;31;33;31;23
18.09.2026 11:00;11;21;22;22;19;14
18.09.2026 12:00;6;20;13;23;17;13
18.09.2026 13:00;8;15;15;22;15;14
18.09.2026 14:00;7;19;14;22;14;16
18.09.2026 15:00;10;22;21;25;17;18
18.09.2026 16:00;11;26;20;20;16;18
18.09.2026 17:00;13;27;18;28;20;19
18.09.2026 18:00;13;31;19;23;26;30
